# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun May 14 19:01:46 2023
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_gaiamag:     Gaia Magnitude
#
pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_spectype,st_teff,st_rad,st_mass,st_lum,st_logg,sy_dist,sy_gaiamag
24 Sex c,24 Sex,1,2,Radial Velocity,2010,883.00000000,2.080000,13.900,1.240,273.32000,0.86000,Msini,0.559000,0.290000,,,0,K0 IV,5098.00,4.90,1.54,1.164,3.50,72.0691000,6.2037400
2M0437 b,2MASS J04372171+2651014,1,1,Imaging,2021,,118.000000,13.000,1.160,1271.31363,4.00000,Mass,3.180000,,,1450,0,M V,3100.00,0.84,0.17,-1.164,4.50,128.4840000,14.3374000
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,Imaging,2013,,84.000000,12.300,1.100,4131.79000,13.00000,Mass,12.200000,,,,0,M5.5/M6,,,0.19,,,47.2000000,
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,Imaging,2013,,52.000000,11.209,1.000,7786.50000,24.50000,Mass,30.400000,,,1600,0,M3.5 V,3530.00,0.37,0.40,-1.720,4.86,33.8281000,12.9025000
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,Imaging,2015,,156.000000,16.141,1.440,4417.83700,13.90000,Mass,5.770000,,,,0,M6,3064.00,0.28,0.11,-2.230,4.59,40.0896412,15.0123000
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,Imaging,2010,,15.000000,12.600,1.130,2383.60000,7.50000,Mass,6.550000,,,,0,M8.5,2936.00,0.23,0.02,-2.444,5.01,120.4239870,18.9668000
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,Imaging,2004,,55.000000,12.900,1.150,1589.15000,5.00000,Mass,4.070000,,,1250,0,M8,2825.00,0.22,0.02,-2.561,5.03,64.3080000,17.4076000
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,3,Eclipse Timing Variations,2015,406.00000000,0.920000,13.400,1.200,603.87700,1.90000,Mass,1.380000,0.330000,,,0,,29564.00,0.20,0.48,1.450,5.51,396.3320000,12.1376000
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,Imaging,2016,,230.000000,12.300,1.100,3972.87500,12.50000,Mass,11.700000,,,,0,K7 V,4045.00,0.64,0.60,-1.021,4.62,69.5737000,11.9484000
30 Ari B b,30 Ari B,4,1,Radial Velocity,2009,335.10001000,0.990000,12.300,1.100,4392.41060,13.82000,Msini,13.000000,0.290000,,,0,F6 V,6331.00,1.41,1.93,0.381,4.43,44.6570000,6.9608500
4 UMa b,4 UMa,1,1,Radial Velocity,2006,269.30000000,0.870000,12.700,1.130,2256.50000,7.10000,Msini,6.050000,0.432000,,,0,K1 III,4415.00,18.11,1.23,2.062,1.80,73.4603000,4.2377300
42 Dra b,42 Dra,2,1,Radial Velocity,2008,479.10000000,1.190000,13.000,1.160,1233.13000,3.88000,Msini,3.080000,0.380000,,,0,K1.5 III,4200.00,22.03,0.98,2.155,1.71,90.6545000,4.4321600
47 UMa b,47 UMa,1,3,Radial Velocity,1996,1078.00000000,2.100000,13.200,1.180,804.08000,2.53000,Msini,1.920000,0.032000,,,0,G0 V,5872.00,1.21,1.06,0.198,4.30,13.7967000,4.8783700
47 UMa c,47 UMa,1,3,Radial Velocity,2001,2391.00000000,3.600000,14.200,1.270,171.62100,0.54000,Msini,0.329000,0.098000,,,0,G1 V,5872.00,1.21,1.06,0.198,4.30,13.7967000,4.8783700
47 UMa d,47 UMa,1,3,Radial Velocity,2009,14002.00000000,11.600000,13.500,1.200,521.22000,1.64000,Msini,1.160000,0.160000,,,0,G0V,5872.00,1.21,1.06,0.198,4.30,13.7967000,4.8783700
51 Eri b,51 Eri,3,1,Imaging,2015,11688.00000000,13.200000,13.400,1.190,635.66000,2.00000,Mass,1.450000,0.450000,,700,0,F0 IV,7295.00,1.49,1.75,0.850,4.31,29.7575000,5.1580600
51 Peg b,51 Peg,1,1,Radial Velocity,1995,4.23078500,0.052700,14.300,1.270,146.20180,0.46000,Mass,0.275000,0.013000,,,0,G5V,5758.00,1.18,1.03,0.136,4.31,15.4614000,5.2864700
55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,14.65160000,0.113400,13.900,1.240,263.97850,0.83060,Mass,0.540000,0.000000,,700,0,K0 IV-V,5172.00,0.94,0.91,-0.197,4.43,12.5855000,5.7297300
55 Cnc c,55 Cnc,2,5,Radial Velocity,2004,44.39890000,0.237300,8.510,0.760,54.47380,0.17140,Mass,0.486000,0.030000,,,0,G8V,5172.00,0.94,0.91,-0.197,4.43,12.5855000,5.7297300
55 Cnc d,55 Cnc,2,5,Radial Velocity,2002,5574.20000000,5.957000,13.000,1.160,1232.49300,3.87800,Mass,3.080000,0.130000,,,0,G8 V,5172.00,0.94,0.91,-0.197,4.43,12.5855000,5.7297300
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,0.73654740,0.015440,1.875,0.167,7.99000,0.02514,Mass,6.660000,0.050000,2657.83,1958,0,G8 V,5172.00,0.94,0.91,-0.197,4.43,12.5855000,5.7297300
55 Cnc f,55 Cnc,2,5,Radial Velocity,2007,259.88000000,0.770800,7.590,0.677,44.81200,0.14100,Mass,0.563000,0.080000,,,0,G8V,5172.00,0.94,0.91,-0.197,4.43,12.5855000,5.7297300
6 Lyn b,6 Lyn,1,1,Radial Velocity,2008,934.30000000,2.110000,13.400,1.190,638.83830,2.01000,Msini,1.460000,0.073000,,,0,K0 IV,4938.00,5.20,1.44,1.176,3.19,54.6599000,5.6068600
61 Vir b,61 Vir,1,3,Radial Velocity,2009,4.21500000,0.050201,2.110,0.188,5.10000,0.01600,Msini,2.980000,0.120000,,,0,G5 V,5577.00,0.96,0.94,-0.095,4.34,8.5033200,4.5405200
61 Vir c,61 Vir,1,3,Radial Velocity,2009,38.02100000,0.217500,4.460,0.398,18.20000,0.05700,Msini,1.130000,0.140000,,,0,G5 V,5577.00,0.96,0.94,-0.095,4.34,8.5033200,4.5405200
61 Vir d,61 Vir,1,3,Radial Velocity,2009,123.01000000,0.476000,5.110,0.456,22.90000,0.07200,Msini,0.943000,0.350000,,,0,G5 V,5577.00,0.96,0.94,-0.095,4.34,8.5033200,4.5405200
7 CMa b,7 CMa,1,2,Radial Velocity,2011,735.10000000,1.758000,13.400,1.200,587.98550,1.85000,Msin(i)/sin(i),1.340000,0.060000,,,0,K1 III,4826.00,4.87,1.34,1.063,3.19,19.8101000,3.6785300
7 CMa c,7 CMa,1,2,Radial Velocity,2019,996.00000000,2.153000,13.900,1.240,276.51210,0.87000,Msin(i)/sin(i),0.566000,0.080000,,,0,K1III(+M),4826.00,4.87,1.34,1.063,3.19,19.8101000,3.6785300
70 Vir b,70 Vir,1,1,Radial Velocity,1996,116.68800000,0.481000,12.600,1.130,2380.45000,7.49000,Mass,6.540000,0.398800,,,0,G5V,5495.00,1.89,1.09,0.451,3.95,17.9011000,4.7617800
75 Cet b,75 Cet,2,1,Radial Velocity,2012,691.90000000,2.100000,13.100,1.170,953.49000,3.00000,Msini,2.330000,0.117000,,,0,G3 III,4846.00,10.50,2.49,1.730,2.63,82.9613000,5.0934300
8 UMi b,8 UMi,1,1,Radial Velocity,2015,93.40000000,0.490000,13.600,1.220,416.35730,1.31000,Msini,0.910000,0.060000,,,0,K0,4847.00,10.30,1.44,1.725,2.57,162.5520000,6.5589600
81 Cet b,81 Cet,1,1,Radial Velocity,2008,952.70000000,2.500000,12.800,1.140,1684.40000,5.30000,Msini,4.410000,0.206000,,,0,G5 III,4785.00,11.00,2.40,1.778,2.35,101.2600000,5.3758800
91 Aqr b,91 Aqr,3,1,Radial Velocity,2013,181.40000000,0.700000,13.100,1.170,1017.00000,3.20000,Msini,2.490000,0.027000,,,0,K0 III,4665.00,11.00,1.40,1.692,2.52,44.0304000,3.9531100
AB Aur b,AB Aur,1,1,Imaging,2022,,93.900000,12.500,1.120,2860.45566,9.00000,Mass,8.050000,0.400000,,,0,,9770.00,2.96,2.40,1.771,3.77,162.1270000,7.0785400
AB Pic b,AB Pic,1,1,Imaging,2005,,260.000000,12.300,1.100,4290.50000,13.50000,Mass,12.700000,,,,0,K2 V,5285.00,1.00,0.90,-0.226,4.53,50.0475000,8.8378000
AF Lep b,AF Lep,1,1,Imaging,2023,7520.00000000,7.990000,12.800,1.140,1664.46737,5.23700,Mass,4.360000,0.470000,,1400,0,F8 V,6100.00,1.25,1.20,0.290,4.40,26.8564000,6.1864400
AU Mic b,AU Mic,1,2,Transit,2020,8.46299910,0.064500,4.070,0.363,20.12000,0.06330,Mass,1.320000,0.186000,76.64,593,1,M1,3588.00,0.70,0.50,-1.046,4.39,9.7221000,7.8403800
AU Mic c,AU Mic,1,2,Transit,2021,18.85899100,0.110100,3.240,0.289,9.60000,0.03020,Mass,1.220000,0.041000,,454,0,M1,3700.00,0.75,0.50,-1.046,4.39,9.7221000,7.8403800
BD+03 2562 b,BD+03 2562,1,1,Radial Velocity,2017,481.90000000,1.300000,12.700,1.130,2034.11200,6.40000,Msini,5.460000,0.200000,,,0,,4095.00,32.35,1.14,2.700,1.89,1070.6300000,8.9977000
BD+14 4559 b,BD+14 4559,1,1,Radial Velocity,2009,268.94000000,0.780000,13.800,1.230,330.54320,1.04000,Msini,0.691000,0.290000,,,0,K2 V,4864.00,0.86,0.49,-0.320,4.26,49.3520000,9.3510800
BD+15 2375 b,BD+15 2375,1,1,Radial Velocity,2016,153.22000000,0.576000,13.800,1.230,337.21763,1.06100,Msini,0.705000,0.001000,,,0,G5,4649.00,8.95,1.08,1.570,2.61,768.0450000,9.9918000
BD+15 2940 b,BD+15 2940,1,1,Radial Velocity,2013,137.48000000,0.539000,13.700,1.230,352.78000,1.11000,Msini,0.754000,0.260000,,,0,K0,4796.00,14.70,1.10,2.010,2.80,426.4200000,8.7178000
BD+20 2457 b,BD+20 2457,1,2,Radial Velocity,2009,379.63000000,1.450000,12.100,1.080,6807.63000,21.42000,Msini,21.100000,0.150000,,,0,K2 II,4137.00,49.00,2.80,3.170,1.51,1539.7100000,9.2268400
BD+20 2457 c,BD+20 2457,1,2,Radial Velocity,2009,621.99000000,2.010000,12.400,1.100,3963.17000,12.47000,Msini,11.400000,0.180000,,,0,K2 II,4137.00,49.00,2.80,3.170,1.51,1539.7100000,9.2268400
BD+20 274 b,BD+20 274,1,1,Radial Velocity,2012,578.20000000,1.300000,13.000,1.160,1334.88600,4.20000,Msini,3.340000,0.210000,,,0,K5 III,4296.00,17.30,0.80,1.960,1.99,1322.5100000,8.9161300
BD+20 594 b,BD+20 594,1,1,Transit,2016,41.68550000,0.241000,2.578,0.230,22.24810,0.07000,Mass,7.890000,0.000000,,546,0,G,5766.00,1.08,1.67,-0.056,4.50,179.4610000,10.8644000
BD+45 564 b,BD+45 564,1,1,Radial Velocity,2021,307.88000000,0.830000,13.600,1.210,432.24663,1.36000,Msini,0.944000,0.120000,,,0,K1,5004.00,0.81,0.81,-0.399,4.22,53.6220000,9.4126600
BD+48 738 b,BD+48 738,1,1,Radial Velocity,2011,392.60000000,1.000000,13.900,1.240,289.22530,0.91000,Msini,0.592000,0.200000,,,0,K0 III,4414.00,11.00,0.74,1.690,2.24,871.4930000,8.6556900
BD+48 740 b,BD+48 740,1,1,Radial Velocity,2018,733.00000000,1.700000,13.500,1.200,540.31100,1.70000,Msini,1.210000,0.760000,,,0,K3 III,4534.00,10.33,1.09,1.640,2.48,666.5890000,8.2644900
BD+49 828 b,BD+49 828,1,1,Radial Velocity,2015,2590.00000000,4.200000,13.500,1.210,508.50000,1.60000,Msini,1.140000,0.350000,,,0,K0,4943.00,7.60,1.52,1.470,2.85,442.0420000,9.0285100
BD+55 362 b,BD+55 362,1,1,Radial Velocity,2021,265.59000000,0.780000,14.000,1.250,228.83645,0.72000,Msini,0.458000,0.270000,,,0,K3,5012.00,0.90,0.91,-0.313,4.09,52.5697000,9.1530500
BD+60 1417 b,BD+60 1417,1,1,Imaging,2021,,1662.000000,14.684,1.310,4767.42610,15.00000,Mass,8.270000,,,1303,0,K0,4993.00,0.80,1.00,0.356,4.55,44.9543000,9.1743900
BD+63 1405 b,BD+63 1405,1,1,Radial Velocity,2021,1198.48000000,2.060000,13.000,1.160,1258.60049,3.96000,Msini,3.150000,0.880000,,,0,K0,5000.00,0.80,0.82,-0.413,4.20,38.0473000,8.7050000
BD-00 4475 b,BD-00 4475,1,1,Radial Velocity,2021,723.20000000,1.480000,12.000,1.070,7961.60160,25.05000,Msini,25.300000,0.390000,,,0,G0,5040.00,0.84,0.81,-0.350,4.25,42.6402000,8.7810100
BD-06 1339 b,BD-06 1339,1,2,Radial Velocity,2013,3.87280000,0.042800,2.850,0.254,8.50000,0.02700,Msini,2.020000,0.000000,,,0,K7/M0 V,4324.00,0.69,0.70,-1.022,4.74,20.2695000,9.1067700
BD-06 1339 c,BD-06 1339,1,2,Radial Velocity,2013,125.94000000,0.435000,8.380,0.747,53.00000,0.17000,Msini,0.495000,0.310000,,,0,K7/M0 V,4324.00,0.69,0.70,-1.022,4.74,20.2695000,9.1067700
BD-08 2823 b,BD-08 2823,1,2,Radial Velocity,2009,5.60000000,0.060000,3.610,0.322,12.71320,0.04000,Msini,1.480000,0.150000,,,0,K3 V,4816.00,0.71,0.50,-0.626,4.43,41.3342000,9.5033100
BD-08 2823 c,BD-08 2823,1,2,Radial Velocity,2009,237.60000000,0.680000,12.500,1.110,104.00000,0.33000,Msini,0.293000,0.190000,,,0,K3 V,4746.00,0.72,0.74,-0.626,4.13,41.3342000,9.5033100
BD-10 3166 b,BD-10 3166,1,1,Radial Velocity,2000,3.48777000,0.040000,14.100,1.260,187.51970,0.59000,Msini,0.368000,0.020000,,,0,K0 V,5393.00,0.91,1.47,-0.191,4.69,84.4069000,9.8398100
BD-11 4672 b,BD-11 4672,1,2,Radial Velocity,2014,1634.00000000,2.360000,14.100,1.250,206.58950,0.65000,Msini,0.405000,0.050000,,,0,K7 V,4550.00,0.64,0.65,-0.804,4.64,27.1665000,9.4851100
BD-11 4672 c,BD-11 4672,1,2,Radial Velocity,2020,74.20000000,0.300000,4.040,0.360,15.37000,0.04836,Msini,1.280000,0.400000,,,0,K7V,4550.00,0.64,0.65,-0.804,4.64,27.1665000,9.4851100
BD-13 2130 b,BD-13 2130,1,1,Radial Velocity,2007,714.29999000,1.660000,12.500,1.110,3108.37740,9.78000,Msini,8.750000,0.210000,,,0,G5 IV/V,4545.00,19.17,2.12,2.043,2.20,925.2140000,9.6997100
BD-17 63 b,BD-17 63,1,1,Radial Velocity,2008,655.60000000,1.340000,12.800,1.150,1620.90000,5.10000,Msini,4.250000,0.540000,,,0,K5 V,4714.00,0.69,0.74,-0.678,4.26,34.4603000,9.2011200
CD Cet b,CD Cet,1,1,Radial Velocity,2020,2.29070000,0.018500,1.820,0.162,3.95000,0.01243,Msini,3.600000,,8.60,464,0,M5.0 V,3130.00,0.17,0.16,-2.533,4.93,8.6071500,12.1232000
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1,1,Imaging,2011,10037.50000000,2.600000,12.400,1.110,3337.10000,10.50000,Mass,9.620000,,,370,0,,580.50,,0.02,,4.72,23.1000000,
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1,1,Imaging,2021,8040000.00000000,200.000000,20.849,1.860,2479.06157,7.80000,Mass,1.500000,,,1800,0,M9-L1,2320.00,0.24,0.01,-2.850,3.85,,
CHXR 73 b,CHXR 73,1,1,Imaging,2006,,210.000000,12.300,1.100,3994.48600,12.56900,Mass,11.800000,,,,0,M3.5,3099.00,,0.35,,,190.3740000,17.2934000
CI Tau b,CI Tau,1,1,Radial Velocity,2019,8.98910000,,12.400,1.110,3686.82800,11.60000,Mass,10.600000,0.250000,,,0,K7,3807.00,1.88,0.90,-0.108,,157.9980000,12.1454000
COCONUTS-2 b,COCONUTS-2 A,1,1,Imaging,2021,402000000.00000000,7506.000000,12.442,1.110,2002.31896,6.30000,Mass,5.710000,,,434,0,M3 V,3406.00,0.39,0.37,-1.732,4.83,10.8864000,10.1460000
CT Cha b,CT Cha,1,1,Imaging,2007,,440.000000,24.660,2.200,5403.00000,17.00000,Mass,1.980000,,,2600,0,K5e,4403.00,1.68,,-0.102,3.66,190.7200000,11.7733000
CoRoT-1 b,CoRoT-1,1,1,Transit,2008,1.50895570,0.027520,16.700,1.490,327.35000,1.03000,Mass,0.380000,0.000000,2852.63,1898,0,G0 V,5950.00,1.11,0.95,0.298,4.25,787.9090000,13.4570000
CoRoT-10 b,CoRoT-10,1,1,Transit,2010,13.24060000,0.105500,10.870,0.970,874.00000,2.75000,Mass,3.700000,0.530000,,600,0,K1 V,5075.00,0.79,0.89,-0.726,4.65,338.3860000,14.6645000
CoRoT-11 b,CoRoT-11,1,1,Transit,2010,2.99433000,0.043600,16.030,1.430,740.51000,2.33000,Mass,0.990000,0.000000,,1657,0,F6 V,6440.00,1.37,1.27,0.378,4.22,655.0370000,12.8410000
CoRoT-12 b,CoRoT-12,1,1,Transit,2010,2.82804200,0.040160,16.140,1.440,291.43800,0.91700,Mass,0.411000,0.070000,661.13,1442,0,,5675.00,1.12,1.08,0.070,4.38,1126.3700000,15.3453000
CoRoT-13 b,CoRoT-13,1,1,Transit,2010,4.03519000,0.051000,9.920,0.885,415.70400,1.30800,Mass,2.340000,0.000000,546.53,1700,0,G0 V,5945.00,1.01,1.09,0.073,4.46,1148.9300000,14.9147000
CoRoT-14 b,CoRoT-14,1,1,Transit,2010,1.51214000,0.027000,12.220,1.090,2415.40000,7.60000,Mass,7.300000,0.000000,,1952,0,F9 V,6035.00,1.21,1.13,0.119,4.35,1744.6000000,15.8116000
CoRoT-16 b,CoRoT-16,1,1,Transit,2011,5.35227000,0.061800,13.110,1.170,170.03200,0.53500,Mass,0.440000,0.330000,,,0,G5 V,5650.00,1.19,1.10,-0.435,4.36,732.4090000,15.6507000
CoRoT-17 b,CoRoT-17,1,1,Transit,2011,3.76810000,0.046100,11.430,1.020,772.29000,2.43000,Mass,2.820000,0.000000,,1626,0,G2 V,5740.00,1.59,1.04,0.134,4.40,1176.1200000,15.4368000
CoRoT-18 b,CoRoT-18,1,1,Transit,2011,1.90006930,0.029500,14.680,1.310,1102.82000,3.47000,Mass,2.200000,0.080000,823.70,1550,0,G9 V,5440.00,1.00,0.95,-0.170,4.40,764.8890000,14.8009000
CoRoT-19 b,CoRoT-19,1,1,Transit,2011,3.89713000,0.051800,14.460,1.290,352.78000,1.11000,Mass,0.710000,0.047000,1103.81,2000,0,F9 V,6090.00,1.65,1.21,0.544,4.07,790.6630000,13.7831000
CoRoT-2 b,CoRoT-2,2,1,Transit,2008,1.74299350,0.027980,16.432,1.466,1102.82000,3.47000,Mass,1.470000,0.014300,932.91,1521,1,,5625.00,0.91,0.96,-0.131,4.53,213.2830000,12.2489000
CoRoT-20 b,CoRoT-20,1,2,Transit,2011,9.24285000,0.090000,9.416,0.840,1366.66900,4.30000,Mass,8.870000,0.590000,180.87,1024,0,G2 V,5880.00,1.02,1.14,0.170,4.35,844.0610000,14.4686000
CoRoT-20 c,CoRoT-20,1,2,Radial Velocity,2018,1675.00000000,2.900000,12.200,1.090,5403.11000,17.00000,Msini,16.400000,0.600000,,,0,G2 V,4947.50,1.37,1.14,0.006,4.35,844.0610000,14.4686000
CoRoT-21 b,CoRoT-21,1,1,Transit,2012,2.72474000,0.041700,14.572,1.300,718.29580,2.26000,Mass,1.360000,0.000000,,,0,F8 IV,6200.00,1.95,1.29,0.705,3.70,1398.8341969,15.8558000
CoRoT-22 b,CoRoT-22,1,1,Transit,2014,9.75598000,0.092000,4.880,0.435,12.20000,0.03800,Mass,0.249000,0.077000,,885,0,G3 V,5939.00,1.14,1.10,0.014,4.36,627.1580000,13.7305000
CoRoT-23 b,CoRoT-23,1,1,Transit,2011,3.63130000,0.048000,11.770,1.050,889.90000,2.80000,Mass,3.000000,0.160000,,1660,0,G0 V,5900.00,1.61,1.14,0.087,4.30,1060.9700000,15.0681000
CoRoT-24 b,CoRoT-24,1,2,Transit,2014,5.11340000,0.056000,3.700,0.330,5.70000,0.01800,Mass,0.900000,0.000000,,1070,0,K1 V,4950.00,0.86,0.91,-0.601,4.55,591.5550000,15.1801000
CoRoT-24 c,CoRoT-24,1,2,Transit,2014,11.75900000,0.098000,5.000,0.440,28.00000,0.08800,Mass,1.300000,0.000000,,850,0,K1 V,4950.00,0.86,0.91,-0.601,4.55,591.5550000,15.1801000
CoRoT-25 b,CoRoT-25,1,1,Transit,2013,4.86069000,0.057800,12.110,1.080,85.81000,0.27000,Mass,0.150000,0.000000,,1330,0,F9,6040.00,1.19,1.09,0.141,4.31,1103.4800000,14.7110000
CoRoT-26 b,CoRoT-26,1,1,Transit,2013,4.20474000,0.052600,14.120,1.260,165.26000,0.52000,Mass,0.280000,0.000000,,1600,0,G5,5590.00,1.79,1.09,0.451,3.99,1045.1800000,15.4682000
CoRoT-27 b,CoRoT-27,1,1,Transit,2014,3.57532000,0.047600,11.287,1.007,3302.11000,10.39000,Mass,12.600000,0.065000,,1500,0,G2,5900.00,1.08,1.05,-0.166,4.40,1010.2800000,15.3902000
CoRoT-28 b,CoRoT-28,1,1,Transit,2015,5.20851000,0.060300,10.705,0.955,153.82972,0.48400,Mass,0.690000,0.047000,,,0,G8/9 IV,5150.00,1.78,1.01,0.388,3.60,766.1830000,13.4119000
CoRoT-29 b,CoRoT-29,1,1,Transit,2015,2.85057000,0.038600,10.088,0.900,270.15550,0.85000,Mass,1.450000,0.082000,,,0,K0 V,5260.00,0.90,0.97,-0.094,4.30,806.5070000,15.2394000
CoRoT-3 b,CoRoT-3,1,1,Transit,2008,4.25680000,0.057830,11.320,1.010,6883.91000,21.66000,Mass,26.400000,0.000000,,1695,0,F3 V,6740.00,1.56,1.37,0.391,4.22,768.7710000,13.2188000
CoRoT-30 b,CoRoT-30,1,1,Transit,2020,9.06005000,0.084400,11.310,1.009,921.70700,2.90000,Mass,3.450000,0.007000,,,0,G3 V,5650.00,0.91,0.98,-0.197,4.40,1032.2300000,15.4130000
